case,group,reason
1.label,assignment_unresolved_cases,only 2/8 independent votes support the winner; only 0/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.031 is below 0.160; winner score 0.016 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
2.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
3.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
4.label,assignment_unresolved_cases,score margin 0.064 is below 0.160; winner score 0.032 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
6.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD
9.label,assignment_unresolved_cases,only 2/8 independent votes support the winner; only 0/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.110 is below 0.160; winner score 0.055 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
10.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD
12.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
13.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; score margin 0.031 is below 0.160; winner score 0.015 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
18.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LAD-role measurements support the proposed LAD; score margin 0.112 is below 0.160; winner score 0.056 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
21.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.044 is below 0.160; winner score 0.022 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
22.label,assignment_unresolved_cases,score margin 0.036 is below 0.160; winner score 0.018 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
23.label,assignment_unresolved_cases,only 3/8 independent votes support the winner; only 0/4 LCX-role measurements support the proposed LCX; score margin 0.095 is below 0.160; winner score 0.047 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
24.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.054 is below 0.160; winner score 0.027 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
25.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 0/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
26.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; score margin 0.022 is below 0.160; winner score 0.011 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
27.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
28.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD
29.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
