case_id,statistics_eligible,frame_pass,ellipsoid_valid,assignment_resolution_status,assignment_resolved,anatomical_role_gate_pass,anatomical_role_gate_failures,scaffold_anatomical_role_gate_pass,scaffold_anatomical_role_gate_failures,has_rca,source_archive_hash_match,source_array_hashes_match,max_source_coordinate_change_mm,max_source_segment_length_change_mm,LMCA_to_LAD_source_continuity_mm,LMCA_to_LCX_source_continuity_mm,exclusion_flags,LAD_length_mm,LCX_length_mm,LAD_minus_LCX_length_mm,LAD_inferior_displacement_mm,LCX_inferior_displacement_mm,LAD_minus_LCX_inferior_displacement_mm,LCX_to_LAD_inferior_displacement_ratio,LAD_inferior_displacement_to_length_ratio,LCX_inferior_span_to_length_ratio,LAD_descending_segment_fraction,LAD_horizontal_path_fraction,LCX_horizontal_path_fraction,LAD_terminal_lateral_fraction,LCX_terminal_lateral_fraction,LAD_terminal_lateral_displacement_mm,LCX_terminal_lateral_displacement_mm,LCX_to_LAD_lateral_displacement_ratio,LAD_initial_inferior_direction_fraction,LCX_initial_horizontal_direction_fraction
1.label,False,True,True,unresolved_manual_review,False,False,lad_has_longitudinal_course;lad_descent_is_sustained;lcx_has_substantial_absolute_lateral_reach,False,lad_has_longitudinal_course;lad_descent_is_sustained;lcx_has_substantial_absolute_lateral_reach,True,True,True,0.0,0.0,0.0,0.0,assignment:unresolved_manual_review;anatomy:lad_has_longitudinal_course;anatomy:lad_descent_is_sustained;anatomy:lcx_has_substantial_absolute_lateral_reach;scaffold_anatomy:lad_has_longitudinal_course;scaffold_anatomy:lad_descent_is_sustained;scaffold_anatomy:lcx_has_substantial_absolute_lateral_reach,204.60975264942678,59.058343769160864,145.5514088802659,32.35534446831218,-9.110229386061913,41.4655738543741,-0.28156799242190694,0.1581319758679784,0.16030009798808323,0.620253164556962,0.8509767236467823,0.9271945448138128,0.5182627718683717,0.6759905022526094,106.04161755939383,39.922879466722314,0.37648312413153767,0.807582520479343,0.8880678655367809
2.label,False,True,True,unresolved_manual_review,False,False,lcx_has_substantial_absolute_lateral_reach,False,lcx_has_substantial_absolute_lateral_reach,True,True,True,0.0,0.0,0.0,0.0,assignment:unresolved_manual_review;anatomy:lcx_has_substantial_absolute_lateral_reach;scaffold_anatomy:lcx_has_substantial_absolute_lateral_reach,164.1959455003199,56.91226030984418,107.28368519047572,77.45363141471746,10.459759049844912,66.99387236487254,0.13504543116692894,0.4717146405698949,0.1840582682596028,0.8354430379746836,0.6357091007755693,0.9452517590740721,0.45949066529052535,0.8157645138583891,75.44650423594884,46.42700236424213,0.6153632011769279,0.9839433042596708,0.9648236711331659
3.label,False,True,False,unresolved_manual_review,False,False,lad_descent_is_sustained;lcx_has_substantial_absolute_lateral_reach,False,lad_descent_is_sustained;lcx_has_substantial_absolute_lateral_reach,True,True,True,0.0,0.0,0.0,0.0,assignment:unresolved_manual_review;anatomy:lad_descent_is_sustained;anatomy:lcx_has_substantial_absolute_lateral_reach;scaffold_anatomy:lad_descent_is_sustained;scaffold_anatomy:lcx_has_substantial_absolute_lateral_reach;ellipsoid:underconstrained_crown_axis_ratio_gt_4;ellipsoid:underconstrained_crown_major_axis_gt_250mm,119.41889533697915,58.61754195904256,60.801353377936586,31.854927802969804,-21.932820901411162,53.78774870438097,-0.688522072222885,0.26674947639635077,0.3741682125930175,0.6582278481012658,0.7772002187375083,0.8520622226008069,0.5351202418529971,0.6235982068927562,63.903468154542026,36.55379405811984,0.5720158093723389,0.881763802827341,0.9303893375563402
4.label,False,True,True,unresolved_manual_review,False,False,lcx_is_not_apex_descending_branch,False,lcx_is_not_apex_descending_branch,True,True,True,0.0,0.0,0.0,0.0,assignment:unresolved_manual_review;anatomy:lcx_is_not_apex_descending_branch;scaffold_anatomy:lcx_is_not_apex_descending_branch,116.85672099166263,106.29540378255959,10.561317209103038,63.16800345561604,41.385776263943654,21.782227191672384,0.6551699278104095,0.5405594382553561,0.41241613118157017,0.9367088607594937,0.6794661733346832,0.7968807798332276,0.5031832697679471,0.6072429898598162,58.80034696294551,64.5471388012779,1.097733978371826,0.7760372036159455,0.9750646856468291
5.label,False,True,True,absent_from_assignment_map,False,False,lcx_has_substantial_absolute_lateral_reach,False,lcx_has_substantial_absolute_lateral_reach,True,True,True,0.0,0.0,0.0,0.0,assignment:absent_from_assignment_map;anatomy:lcx_has_substantial_absolute_lateral_reach;scaffold_anatomy:lcx_has_substantial_absolute_lateral_reach,163.0536582315336,77.42985680225581,85.62380142927779,67.71397662560796,8.038035992044124,59.67594063356383,0.1187057147224804,0.4152864606659434,0.2189863881676628,0.759493670886076,0.6201669006368294,0.8325893473578904,0.42503872587559505,0.5659297238887379,69.30411914408577,43.819857480845144,0.6322835932701499,0.9312442856139646,0.8623979595006018
6.label,False,True,True,unresolved_manual_review,False,True,,True,,True,True,True,0.0,0.0,0.0,0.0,assignment:unresolved_manual_review,171.42077589537627,77.4817456313364,93.93903026403987,54.125999257404764,8.609158102734941,45.51684115466982,0.1590577212587379,0.31574935403652377,0.16507040561493996,0.7721518987341772,0.6791523384502375,0.9209757391025486,0.4550438527646758,0.7789143626154276,78.00397030734209,60.35164451276308,0.7736996498379841,0.9997361315847146,0.9969484024590055
7.label,False,True,True,absent_from_assignment_map,False,False,lad_has_longitudinal_course;lad_descent_is_sustained;lcx_has_substantial_absolute_lateral_reach,False,lad_descent_is_sustained;lcx_has_substantial_absolute_lateral_reach,True,True,True,0.0,0.0,0.0,0.0,assignment:absent_from_assignment_map;anatomy:lad_has_longitudinal_course;anatomy:lad_descent_is_sustained;anatomy:lcx_has_substantial_absolute_lateral_reach;scaffold_anatomy:lad_descent_is_sustained;scaffold_anatomy:lcx_has_substantial_absolute_lateral_reach,216.3792688682659,81.13197199781521,135.2472968704507,44.28530872032651,0.30291032918224037,43.98239839114427,0.0068399732989375675,0.20466521100636448,0.17659100435551822,0.620253164556962,0.8094700483119102,0.8463361230662226,0.45510281278210807,0.6676261326845674,98.47481388968384,54.16582470197398,0.5500474950138328,0.8339902094799638,0.3573314017700611
8.label,False,True,False,absent_from_assignment_map,False,False,lad_has_minimum_inferior_reach;lad_is_dominant_descending_branch;lcx_is_not_apex_descending_branch;lcx_inferior_span_is_limited;lcx_is_more_lateral_than_lad;lcx_has_substantial_absolute_lateral_reach,False,lad_has_minimum_inferior_reach;lad_is_dominant_descending_branch;lcx_is_not_apex_descending_branch;lcx_inferior_span_is_limited;lcx_is_more_lateral_than_lad;lcx_has_substantial_absolute_lateral_reach,True,True,True,0.0,0.0,0.0,0.0,assignment:absent_from_assignment_map;anatomy:lad_has_minimum_inferior_reach;anatomy:lad_is_dominant_descending_branch;anatomy:lcx_is_not_apex_descending_branch;anatomy:lcx_inferior_span_is_limited;anatomy:lcx_is_more_lateral_than_lad;anatomy:lcx_has_substantial_absolute_lateral_reach;scaffold_anatomy:lad_has_minimum_inferior_reach;scaffold_anatomy:lad_is_dominant_descending_branch;scaffold_anatomy:lcx_is_not_apex_descending_branch;scaffold_anatomy:lcx_inferior_span_is_limited;scaffold_anatomy:lcx_is_more_lateral_than_lad;scaffold_anatomy:lcx_has_substantial_absolute_lateral_reach;ellipsoid:c_axis_above_3x_observed_lad_z_extent,75.99969505511118,49.13789222948118,26.861802825629994,23.87478122559766,27.324777745742125,-3.4499965201444667,1.1445037961832927,0.3141431187096851,0.556083635377183,0.8607594936708861,0.8474665625784252,0.6845101341681138,0.5437722132316365,0.47078223905019645,41.32652238504726,23.1332469260024,0.5597675679183801,0.8465587134435023,0.6518491201958152
9.label,False,True,False,unresolved_manual_review,False,False,lcx_is_not_apex_descending_branch;lcx_is_more_lateral_than_lad;lcx_has_substantial_absolute_lateral_reach,False,lcx_is_not_apex_descending_branch;lcx_inferior_span_is_limited;lcx_is_more_lateral_than_lad;lcx_has_substantial_absolute_lateral_reach,True,True,True,0.0,0.0,0.0,0.0,assignment:unresolved_manual_review;anatomy:lcx_is_not_apex_descending_branch;anatomy:lcx_is_more_lateral_than_lad;anatomy:lcx_has_substantial_absolute_lateral_reach;scaffold_anatomy:lcx_is_not_apex_descending_branch;scaffold_anatomy:lcx_inferior_span_is_limited;scaffold_anatomy:lcx_is_more_lateral_than_lad;scaffold_anatomy:lcx_has_substantial_absolute_lateral_reach;ellipsoid:c_axis_above_3x_observed_lad_z_extent;ellipsoid:underconstrained_crown_axis_ratio_gt_4;ellipsoid:underconstrained_crown_major_axis_gt_250mm,178.94826971378077,85.44224959912503,93.50602011465574,62.21263839573238,40.960119877133224,21.252518518599153,0.658389049771324,0.3476571106009492,0.47938952999609075,0.8227848101265823,0.7185627494316789,0.7408151502141479,0.3796266010300632,0.19185476176383176,67.9335233916536,16.392502441405984,0.24130210863492454,-0.28231370471937695,0.9351578170137366
10.label,False,True,True,unresolved_manual_review,False,True,,True,,True,True,True,0.0,0.0,0.0,0.0,assignment:unresolved_manual_review,96.11571616248574,73.07938668765051,23.036329474835227,65.3091811202681,-5.24505341737847,70.55423453764656,-0.0803111190097393,0.6794849346995603,0.19052530408825816,1.0,0.5570540311622854,0.8746343422328205,0.346104592807618,0.6948324585468799,33.266090804829716,50.77792992127833,1.5264171020030453,0.9738035327324264,0.9485951326562672
